Sample_ID,Date_Open,Total_Mass_Flux_g_m2_day ,Terrigenous_Flux_g_m2_day ,PON_Flux_mmoles_m2_day,POC_Flux_mmoles_m2_day,CaCO3_Flux_mmoles_m2_day,OPAL_Flux_mmoles_m2_day,TPP_Flux_umolesP_m2_day,PIP_Flux_umolesP_m2_day,POP_Flux_umolesP_m2_day
SBB 20-6,2003-07-11,4.39,2.74,1.66,14.61,3.92,29.40,221.52,184.67,36.85
SBB 20-7,2003-07-18,3.73,2.28,1.62,13.66,3.52,24.53,204.87,168.93,35.95
SBB 20-8,2003-07-25,2.82,1.67,1.49,13.52,2.88,16.04,140.80,108.00,32.80
SBB 20-9,2003-08-08,2.31,1.46,1.07,10.30,2.48,10.34,129.22,102.12,27.10
SBB 20-10,2003-08-22,3.47,1.94,1.63,14.26,4.73,22.39,193.95,158.32,35.63
SBB 20-11,2003-09-05,2.66,1.61,1.44,13.12,2.19,15.73,158.07,124.92,33.16
SBB 20-12,2003-09-19,2.56,1.68,1.16,11.19,2.29,11.23,237.08,212.70,24.39
SBB 20-13,2003-10-03,2.76,2.02,0.97,9.17,2.50,7.63,164.42,142.70,21.72
SBB 21-1,2003-10-15,2.65,1.53,1.08,10.86,1.95,21.30,141.04,117.20,23.84
SBB 21-2,2003-11-01,2.34,1.61,0.81,7.82,1.87,11.05,127.69,109.16,18.53
SBB 21-3,2003-11-18,2.26,1.17,0.77,7.57,2.06,23.46,126.11,109.19,16.92
SBB 21-4,2003-12-05,2.65,1.47,0.95,8.72,3.08,21.73,148.54,125.00,23.54
SBB 21-5,2003-12-22,2.14,1.33,0.86,8.36,2.59,10.95,117.46,93.85,23.62
SBB 21-6,2004-01-08,2.05,0.97,0.97,10.60,1.77,20.81,137.77,115.64,22.13
SBB 21-7,2004-01-25,1.68,0.58,0.67,7.13,1.66,25.46,87.70,72.92,14.78
SBB 21-8,2004-02-11,1.23,0.81,0.68,7.70,1.29,2.06,71.76,58.58,13.18
SBB 21-9,2004-02-28,3.72,2.57,1.72,25.35,3.24,2.33,242.59,203.48,39.11
SBB 21-10,2004-03-16,1.92,1.46,0.79,7.44,1.86,1.84,114.77,97.63,17.13
SBB 21-11,2004-04-02,1.25,0.93,0.62,6.22,0.97,1.25,70.52,57.43,13.09
SBB 21-12,2004-04-19,0.10,0.08,0.08,0.65,0.06,,,,
SBB 21-13,2004-05-06,0.08,0.06,0.05,0.40,0.04,0.12,,,
SBB 22-1,2004-06-11,4.44,2.71,1.93,15.26,3.58,32.40,225.62,185.21,40.42
SBB 22-2,2004-06-18,4.48,2.72,1.94,14.75,5.67,26.72,342.36,296.82,45.54
SBB 22-3,2004-06-25,4.03,2.65,1.65,11.14,5.68,17.00,238.29,202.22,36.08
SBB 22-4,2004-07-02,,,,,,,,,
SBB 22-5,2004-07-09,0.25,0.14,0.11,0.92,0.28,1.90,,,
SBB 22-6,2004-07-16,0.08,0.05,0.03,0.27,0.07,0.54,,,
SBB 22-7,2004-07-23,0.12,0.07,0.05,0.43,0.11,0.77,,,
SBB 22-8,2004-07-30,0.22,0.13,0.12,1.05,0.22,1.25,,,
SBB 22-9,2004-08-06,0.05,0.03,0.02,0.23,0.05,0.23,,,
SBB 22-10,2004-08-20,0.14,0.08,0.07,0.58,0.19,0.91,,,
SBB 22-11,2004-09-03,0.59,0.36,0.32,2.93,0.49,3.51,28.43,19.22,9.21
SBB 22-12,2004-09-17,0.02,0.01,0.01,0.07,0.01,0.07,,,
SBB 22-13,2004-10-01,0.05,0.03,0.02,0.15,0.04,0.12,,,
SBB 23-1,2004-10-27,1.46,0.89,0.63,5.00,1.18,10.62,118.89,99.41,19.48
